tsne_1,tsne_2,temp_zscore
-6.298552,17.08815,0.29938385
4.9875965,4.8940663,-0.26216096
-40.70805,-8.153351,-2.4709039
-14.209298,13.438961,-0.82370573
37.537697,10.454492,0.86092865
-23.654577,-4.31201,-0.16857015
34.3081,0.34619984,1.7968366
-37.40223,-10.261006,-2.4709039
6.7120895,-9.074313,-1.0108874
-25.22475,-6.5816717,0.11220226
-16.897839,9.074946,0.48656544
-42.60658,-7.064843,-1.5724322
-19.502132,3.8283675,0.78605604
37.742764,12.031488,0.39297464
-29.82733,-9.4829445,-1.0108874
-21.618412,-2.0428874,-1.198069
13.652722,-17.288595,0.29938385
4.4415674,10.148915,-0.54293334
20.01971,-17.188581,0.11220226
30.904991,-7.507036,1.4224734
27.112604,-12.067949,0.76733786
-7.783169,17.269,0.29938385
29.395288,-10.347036,-0.59908783
36.484528,7.5004735,1.9840182
-6.0724874,18.570719,-0.54293334
14.767779,-17.561234,0.39297464
35.622787,3.441672,0.95451945
11.1307125,-16.013985,0.11220226
-18.846394,5.164018,0.48656544
5.1479597,13.681728,-0.07497935
-11.9077,15.652917,-0.07497935
-49.55978,0.26906902,-1.3852506
-20.647762,-0.14509036,-0.07497935
-33.226078,-10.2729435,-2.4709039
2.8490505,13.099425,-0.54293334
37.607986,12.303703,0.67374706
38.42081,18.017729,0.86092865
6.2335997,-6.8178425,-1.0108874
3.7309399,11.624931,-0.54293334
-5.33283,16.284971,-1.0108874
19.220991,-18.005217,-1.0108874
38.862846,18.962652,2.9199262
5.5793986,11.45525,1.609655
-37.76639,-9.5412655,0.29938385
-22.69514,-3.16512,0.29938385
-51.959732,2.8973927,-1.7596138
12.112241,-16.843094,0.76733786
0.39344665,15.762654,-0.54293334
37.116386,10.451992,1.0481102
-17.216978,9.577757,0.9077241
-41.521713,-7.4850974,0.48656544
31.043207,-6.7367277,-1.0108874
38.785416,18.625145,1.7968366
4.550366,-4.363601,-0.54293334
-47.474308,-2.1552124,-0.07497935
36.299774,6.115351,-1.0108874
38.422176,18.016865,0.9358013
-35.625454,-10.329495,-2.4709039
-10.738539,16.014874,0.48656544
-21.238585,-0.5471256,0.67374706
-16.468935,10.631353,1.0481102
3.1134617,12.538487,-0.54293334
4.540273,-0.68610674,-0.54293334
6.0970626,-0.42358807,0.018611453
-6.5771413,16.969177,-0.54293334
-23.276423,-4.115313,0.20579305
-20.075373,2.7876513,1.2352918
-11.230216,17.183987,-0.96409196
38.16441,16.67505,1.4224734
38.44486,18.088415,1.9840182
-19.14113,5.8183994,-1.0108874
-35.507736,-9.990516,0.86092865
35.35408,1.7058486,0.67374706
5.4880853,-6.329713,0.11220226
-15.332209,11.20427,-1.198069
-17.660381,8.979449,-0.07497935
-28.875475,-8.9071455,-0.63652414
34.88341,1.6675904,1.7968366
27.716772,-11.874744,-0.54293334
6.1776023,6.137554,-0.54293334
5.6582613,-9.088076,-0.54293334
32.071487,-5.421657,-0.54293334
5.3259044,2.97248,-1.0108874
-3.0692732,17.899498,-0.54293334
38.190125,13.789549,1.9840182
5.8429933,-3.565387,0.018611453
27.88294,-12.117429,-0.73011494
-16.405064,10.395163,0.86092865
-16.840115,9.284114,0.48656544
-47.952072,-0.97171783,-0.851783
-23.863602,-4.7164874,-2.3024404
-52.683395,3.6068318,-0.54293334
-38.183784,-9.471303,0.29938385
23.994766,-15.057398,0.48656544
29.870676,-9.439922,-0.68331957
-20.099716,0.6088286,-1.0108874
-49.79438,0.3937704,0.86092865
34.67326,1.259727,-0.07497935
7.1662054,-9.911554,-1.0108874
-51.51417,2.0680673,-1.1606326
-50.248734,1.0954548,-1.0108874
-42.195652,-6.851162,0.39297464
-3.5039697,16.110502,-0.63652414
13.25738,-17.215336,0.48656544
33.385735,-2.7181125,0.11220226
-52.73932,3.7259498,-2.4709039
10.3675165,-15.443187,0.29938385
-10.292916,17.79895,-1.0108874
-35.854195,-10.320305,-2.4709039
-16.111422,10.910509,0.29938385
-30.31228,-9.994614,0.67374706
-52.605873,3.3871832,-0.58036965
31.104279,-7.8915067,-1.3852506
-3.9045455,17.029438,0.48656544
-19.056055,4.87036,1.0481102
-36.758972,-9.650418,0.11220226
21.805464,-16.718601,-0.26216096
38.21034,15.287156,1.7968366
38.23763,16.141872,0.86092865
4.642492,1.0210457,-0.54293334
-42.482143,-6.656357,0.11220226
3.1030107,13.197499,-0.54293334
-12.986405,14.426747,0.86092865
-20.801886,0.9704421,0.86092865
6.549113,-10.360093,0.86092865
-29.301374,-9.695919,0.58015627
5.907091,13.841997,-1.198069
34.80631,0.30043128,0.58015627
14.34938,-17.446407,0.29938385
-37.779655,-9.256248,0.06540685
